Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
iphone-15-pro-max-256gb,iPhone 15 Pro Max 256GB,"<p>The most advanced iPhone with a titanium design, A17 Pro chip and a 5x telephoto camera.</p><table><tbody><tr><th>Display</th><td>6.7"" Super Retina XDR OLED</td></tr><tr><th>Chip</th><td>A17 Pro</td></tr><tr><th>Storage</th><td>256GB</td></tr><tr><th>Camera</th><td>48MP main + 12MP ultra-wide + 12MP 5x tele</td></tr><tr><th>Battery</th><td>Up to 29h video</td></tr><tr><th>Build</th><td>Titanium, USB-C</td></tr></tbody></table><h3>Pricing</h3><ul><li><strong>Retail price:</strong> &pound;1,149.00 inc. VAT</li><li><strong>Wholesale / trade price:</strong> &pound;1,019.00 (minimum order quantities apply)</li></ul><p><em>Dispatched in 1 working day. Choose 48-hour express or 3&ndash;5 working day delivery at checkout. Trade customers: <a href=""/pages/contact"">contact us</a> for tiered pricing and a live stock list.</em></p>",Apple,Smartphone,"Apple Phones, Apple, Smartphone",TRUE,Title,Default Title,SHK-AP-001,shopify,25,deny,manual,1149.00,1199.00,TRUE,TRUE,https://placehold.co/800x800/f1f5f9/0f172a/png?text=iPhone+15+Pro+Max+256GB,iPhone 15 Pro Max 256GB,FALSE,iPhone 15 Pro Max 256GB | Shak Distributors,"The most advanced iPhone with a titanium design, A17 Pro chip and a 5x telephoto camera.",active
iphone-15-128gb,iPhone 15 128GB,"<p>iPhone 15 with Dynamic Island, a 48MP main camera and USB-C.</p><table><tbody><tr><th>Display</th><td>6.1"" Super Retina XDR OLED</td></tr><tr><th>Chip</th><td>A16 Bionic</td></tr><tr><th>Storage</th><td>128GB</td></tr><tr><th>Camera</th><td>48MP main + 12MP ultra-wide</td></tr><tr><th>Battery</th><td>Up to 20h video</td></tr><tr><th>Build</th><td>Aluminium, USB-C</td></tr></tbody></table><h3>Pricing</h3><ul><li><strong>Retail price:</strong> &pound;799.00 inc. VAT</li><li><strong>Wholesale / trade price:</strong> &pound;709.00 (minimum order quantities apply)</li></ul><p><em>Dispatched in 1 working day. Choose 48-hour express or 3&ndash;5 working day delivery at checkout. Trade customers: <a href=""/pages/contact"">contact us</a> for tiered pricing and a live stock list.</em></p>",Apple,Smartphone,"Apple Phones, Apple, Smartphone",TRUE,Title,Default Title,SHK-AP-002,shopify,25,deny,manual,799.00,849.00,TRUE,TRUE,https://placehold.co/800x800/f1f5f9/0f172a/png?text=iPhone+15+128GB,iPhone 15 128GB,FALSE,iPhone 15 128GB | Shak Distributors,"iPhone 15 with Dynamic Island, a 48MP main camera and USB-C.",active
iphone-14-128gb,iPhone 14 128GB,"<p>Dependable everyday iPhone with great cameras and all-day battery.</p><table><tbody><tr><th>Display</th><td>6.1"" Super Retina XDR OLED</td></tr><tr><th>Chip</th><td>A15 Bionic</td></tr><tr><th>Storage</th><td>128GB</td></tr><tr><th>Camera</th><td>12MP dual</td></tr><tr><th>Battery</th><td>Up to 20h video</td></tr><tr><th>Build</th><td>Aluminium, Lightning</td></tr></tbody></table><h3>Pricing</h3><ul><li><strong>Retail price:</strong> &pound;649.00 inc. VAT</li><li><strong>Wholesale / trade price:</strong> &pound;575.00 (minimum order quantities apply)</li></ul><p><em>Dispatched in 1 working day. Choose 48-hour express or 3&ndash;5 working day delivery at checkout. Trade customers: <a href=""/pages/contact"">contact us</a> for tiered pricing and a live stock list.</em></p>",Apple,Smartphone,"Apple Phones, Apple, Smartphone",TRUE,Title,Default Title,SHK-AP-003,shopify,25,deny,manual,649.00,699.00,TRUE,TRUE,https://placehold.co/800x800/f1f5f9/0f172a/png?text=iPhone+14+128GB,iPhone 14 128GB,FALSE,iPhone 14 128GB | Shak Distributors,Dependable everyday iPhone with great cameras and all-day battery.,active
iphone-13-128gb,iPhone 13 128GB,"<p>Excellent value flagship-class iPhone, ideal for trade volume.</p><table><tbody><tr><th>Display</th><td>6.1"" Super Retina XDR OLED</td></tr><tr><th>Chip</th><td>A15 Bionic</td></tr><tr><th>Storage</th><td>128GB</td></tr><tr><th>Camera</th><td>12MP dual</td></tr><tr><th>Battery</th><td>Up to 19h video</td></tr><tr><th>Build</th><td>Aluminium, Lightning</td></tr></tbody></table><h3>Pricing</h3><ul><li><strong>Retail price:</strong> &pound;529.00 inc. VAT</li><li><strong>Wholesale / trade price:</strong> &pound;469.00 (minimum order quantities apply)</li></ul><p><em>Dispatched in 1 working day. Choose 48-hour express or 3&ndash;5 working day delivery at checkout. Trade customers: <a href=""/pages/contact"">contact us</a> for tiered pricing and a live stock list.</em></p>",Apple,Smartphone,"Apple Phones, Apple, Smartphone",TRUE,Title,Default Title,SHK-AP-004,shopify,25,deny,manual,529.00,579.00,TRUE,TRUE,https://placehold.co/800x800/f1f5f9/0f172a/png?text=iPhone+13+128GB,iPhone 13 128GB,FALSE,iPhone 13 128GB | Shak Distributors,"Excellent value flagship-class iPhone, ideal for trade volume.",active
galaxy-s24-ultra-256gb,Galaxy S24 Ultra 256GB,"<p>Galaxy AI flagship with a built-in S Pen, titanium frame and 200MP camera.</p><table><tbody><tr><th>Display</th><td>6.8"" QHD+ Dynamic AMOLED 2X 120Hz</td></tr><tr><th>Chip</th><td>Snapdragon 8 Gen 3</td></tr><tr><th>Storage</th><td>256GB</td></tr><tr><th>Camera</th><td>200MP + 50MP + 12MP + 10MP</td></tr><tr><th>Battery</th><td>5000mAh</td></tr><tr><th>Extras</th><td>S Pen, Galaxy AI</td></tr></tbody></table><h3>Pricing</h3><ul><li><strong>Retail price:</strong> &pound;1,099.00 inc. VAT</li><li><strong>Wholesale / trade price:</strong> &pound;975.00 (minimum order quantities apply)</li></ul><p><em>Dispatched in 1 working day. Choose 48-hour express or 3&ndash;5 working day delivery at checkout. Trade customers: <a href=""/pages/contact"">contact us</a> for tiered pricing and a live stock list.</em></p>",Samsung,Smartphone,"Samsung, Samsung, Smartphone",TRUE,Title,Default Title,SHK-S-005,shopify,25,deny,manual,1099.00,1249.00,TRUE,TRUE,https://placehold.co/800x800/f1f5f9/0f172a/png?text=Galaxy+S24+Ultra+256GB,Galaxy S24 Ultra 256GB,FALSE,Galaxy S24 Ultra 256GB | Shak Distributors,"Galaxy AI flagship with a built-in S Pen, titanium frame and 200MP camera.",active
galaxy-s24-128gb,Galaxy S24 128GB,"<p>Compact Galaxy AI flagship with a brilliant 120Hz display.</p><table><tbody><tr><th>Display</th><td>6.2"" FHD+ AMOLED 120Hz</td></tr><tr><th>Chip</th><td>Exynos 2400</td></tr><tr><th>Storage</th><td>128GB</td></tr><tr><th>Camera</th><td>50MP + 12MP + 10MP</td></tr><tr><th>Battery</th><td>4000mAh</td></tr><tr><th>Extras</th><td>Galaxy AI</td></tr></tbody></table><h3>Pricing</h3><ul><li><strong>Retail price:</strong> &pound;799.00 inc. VAT</li><li><strong>Wholesale / trade price:</strong> &pound;709.00 (minimum order quantities apply)</li></ul><p><em>Dispatched in 1 working day. Choose 48-hour express or 3&ndash;5 working day delivery at checkout. Trade customers: <a href=""/pages/contact"">contact us</a> for tiered pricing and a live stock list.</em></p>",Samsung,Smartphone,"Samsung, Samsung, Smartphone",TRUE,Title,Default Title,SHK-S-006,shopify,25,deny,manual,799.00,899.00,TRUE,TRUE,https://placehold.co/800x800/f1f5f9/0f172a/png?text=Galaxy+S24+128GB,Galaxy S24 128GB,FALSE,Galaxy S24 128GB | Shak Distributors,Compact Galaxy AI flagship with a brilliant 120Hz display.,active
galaxy-a55-5g-128gb,Galaxy A55 5G 128GB,"<p>Best-selling mid-range 5G handset — a trade staple.</p><table><tbody><tr><th>Display</th><td>6.6"" FHD+ Super AMOLED 120Hz</td></tr><tr><th>Chip</th><td>Exynos 1480</td></tr><tr><th>Storage</th><td>128GB</td></tr><tr><th>Camera</th><td>50MP + 12MP + 5MP</td></tr><tr><th>Battery</th><td>5000mAh</td></tr><tr><th>Build</th><td>Glass + metal frame</td></tr></tbody></table><h3>Pricing</h3><ul><li><strong>Retail price:</strong> &pound;399.00 inc. VAT</li><li><strong>Wholesale / trade price:</strong> &pound;349.00 (minimum order quantities apply)</li></ul><p><em>Dispatched in 1 working day. Choose 48-hour express or 3&ndash;5 working day delivery at checkout. Trade customers: <a href=""/pages/contact"">contact us</a> for tiered pricing and a live stock list.</em></p>",Samsung,Smartphone,"Samsung, Samsung, Smartphone",TRUE,Title,Default Title,SHK-S-007,shopify,25,deny,manual,399.00,439.00,TRUE,TRUE,https://placehold.co/800x800/f1f5f9/0f172a/png?text=Galaxy+A55+5G+128GB,Galaxy A55 5G 128GB,FALSE,Galaxy A55 5G 128GB | Shak Distributors,Best-selling mid-range 5G handset — a trade staple.,active
galaxy-z-flip5-256gb,Galaxy Z Flip5 256GB,"<p>Foldable Galaxy with a large cover screen and pocketable design.</p><table><tbody><tr><th>Display</th><td>6.7"" foldable AMOLED 120Hz + 3.4"" cover</td></tr><tr><th>Chip</th><td>Snapdragon 8 Gen 2</td></tr><tr><th>Storage</th><td>256GB</td></tr><tr><th>Camera</th><td>12MP + 12MP</td></tr><tr><th>Battery</th><td>3700mAh</td></tr><tr><th>Form</th><td>Clamshell fold</td></tr></tbody></table><h3>Pricing</h3><ul><li><strong>Retail price:</strong> &pound;899.00 inc. VAT</li><li><strong>Wholesale / trade price:</strong> &pound;799.00 (minimum order quantities apply)</li></ul><p><em>Dispatched in 1 working day. Choose 48-hour express or 3&ndash;5 working day delivery at checkout. Trade customers: <a href=""/pages/contact"">contact us</a> for tiered pricing and a live stock list.</em></p>",Samsung,Smartphone,"Samsung, Samsung, Smartphone",TRUE,Title,Default Title,SHK-S-008,shopify,25,deny,manual,899.00,1049.00,TRUE,TRUE,https://placehold.co/800x800/f1f5f9/0f172a/png?text=Galaxy+Z+Flip5+256GB,Galaxy Z Flip5 256GB,FALSE,Galaxy Z Flip5 256GB | Shak Distributors,Foldable Galaxy with a large cover screen and pocketable design.,active
find-x7-ultra-256gb,Find X7 Ultra 256GB,"<p>Hasselblad quad-camera flagship with dual periscope zoom.</p><table><tbody><tr><th>Display</th><td>6.82"" QHD+ AMOLED 120Hz</td></tr><tr><th>Chip</th><td>Snapdragon 8 Gen 3</td></tr><tr><th>Storage</th><td>256GB</td></tr><tr><th>Camera</th><td>Quad 50MP Hasselblad</td></tr><tr><th>Battery</th><td>5000mAh 100W</td></tr><tr><th>Extras</th><td>Dual periscope tele</td></tr></tbody></table><h3>Pricing</h3><ul><li><strong>Retail price:</strong> &pound;899.00 inc. VAT</li><li><strong>Wholesale / trade price:</strong> &pound;799.00 (minimum order quantities apply)</li></ul><p><em>Dispatched in 1 working day. Choose 48-hour express or 3&ndash;5 working day delivery at checkout. Trade customers: <a href=""/pages/contact"">contact us</a> for tiered pricing and a live stock list.</em></p>",Oppo,Smartphone,"Oppo, Oppo, Smartphone",TRUE,Title,Default Title,SHK-O-009,shopify,25,deny,manual,899.00,999.00,TRUE,TRUE,https://placehold.co/800x800/f1f5f9/0f172a/png?text=Find+X7+Ultra+256GB,Find X7 Ultra 256GB,FALSE,Find X7 Ultra 256GB | Shak Distributors,Hasselblad quad-camera flagship with dual periscope zoom.,active
reno11-5g-256gb,Reno11 5G 256GB,"<p>Sleek portrait-photography phone with fast 67W charging.</p><table><tbody><tr><th>Display</th><td>6.7"" FHD+ AMOLED 120Hz</td></tr><tr><th>Chip</th><td>Dimensity 7050</td></tr><tr><th>Storage</th><td>256GB</td></tr><tr><th>Camera</th><td>50MP + 32MP tele + 8MP</td></tr><tr><th>Battery</th><td>4800mAh 67W</td></tr><tr><th>Build</th><td>Slim curved glass</td></tr></tbody></table><h3>Pricing</h3><ul><li><strong>Retail price:</strong> &pound;399.00 inc. VAT</li><li><strong>Wholesale / trade price:</strong> &pound;349.00 (minimum order quantities apply)</li></ul><p><em>Dispatched in 1 working day. Choose 48-hour express or 3&ndash;5 working day delivery at checkout. Trade customers: <a href=""/pages/contact"">contact us</a> for tiered pricing and a live stock list.</em></p>",Oppo,Smartphone,"Oppo, Oppo, Smartphone",TRUE,Title,Default Title,SHK-O-010,shopify,25,deny,manual,399.00,449.00,TRUE,TRUE,https://placehold.co/800x800/f1f5f9/0f172a/png?text=Reno11+5G+256GB,Reno11 5G 256GB,FALSE,Reno11 5G 256GB | Shak Distributors,Sleek portrait-photography phone with fast 67W charging.,active
